trace,algorithm,frames,page_faults,fault_rate,hit_rate,sim_time
bzip.trace,rand,1,629737,0.629737,0.370263,0.089238
bzip.trace,rand,2,240953,0.240953,0.759047,0.079713
bzip.trace,rand,4,131498,0.131498,0.868502,0.079723
bzip.trace,rand,8,43880,0.043880,0.956120,0.074078
bzip.trace,rand,16,4503,0.004503,0.995497,0.071725
bzip.trace,rand,32,2601,0.002601,0.997399,0.069360
bzip.trace,rand,64,1601,0.001601,0.998399,0.076908
bzip.trace,rand,128,952,0.000952,0.999048,0.070919
bzip.trace,rand,256,409,0.000409,0.999591,0.066314
bzip.trace,rand,512,317,0.000317,0.999683,0.067868
bzip.trace,rand,1024,317,0.000317,0.999683,0.066122
bzip.trace,fifo,512,317,0.000317,0.999683,0.069216
bzip.trace,fifo,1024,317,0.000317,0.999683,0.066825
bzip.trace,lru,1,629737,0.629737,0.370263,0.073749
bzip.trace,lru,2,154429,0.154429,0.845571,0.073997
bzip.trace,lru,4,92770,0.092770,0.907230,0.066140
bzip.trace,lru,8,30691,0.030691,0.969309,0.069397
bzip.trace,lru,16,3344,0.003344,0.996656,0.075158
bzip.trace,lru,32,2133,0.002133,0.997867,0.071797
bzip.trace,lru,64,1264,0.001264,0.998736,0.067085
bzip.trace,lru,128,771,0.000771,0.999229,0.071748
bzip.trace,lru,256,397,0.000397,0.999603,0.068544
bzip.trace,lru,512,317,0.000317,0.999683,0.080681
bzip.trace,lru,1024,317,0.000317,0.999683,0.066799
bzip.trace,clockAlg,1,629737,0.629737,0.370263,0.085230
bzip.trace,clockAlg,2,228838,0.228838,0.771162,0.069274
bzip.trace,clockAlg,4,111442,0.111442,0.888558,0.073756
bzip.trace,clockAlg,8,46164,0.046164,0.953836,0.068636
bzip.trace,clockAlg,16,3468,0.003468,0.996532,0.065551
bzip.trace,clockAlg,32,2203,0.002203,0.997797,0.068122
bzip.trace,clockAlg,64,1318,0.001318,0.998682,0.070275
bzip.trace,clockAlg,128,802,0.000802,0.999198,0.071619
bzip.trace,clockAlg,256,432,0.000432,0.999568,0.073671
bzip.trace,clockAlg,512,317,0.000317,0.999683,0.068281
bzip.trace,clockAlg,1024,317,0.000317,0.999683,0.070188
gcc.trace,rand,1,716106,0.716106,0.283894,0.096519
gcc.trace,rand,2,467498,0.467498,0.532502,0.087515
gcc.trace,rand,4,315914,0.315914,0.684086,0.081925
gcc.trace,rand,8,217453,0.217453,0.782547,0.086003
gcc.trace,rand,16,150561,0.150561,0.849439,0.084856
gcc.trace,rand,32,106555,0.106555,0.893445,0.087372
gcc.trace,rand,64,75179,0.075179,0.924821,0.075112
gcc.trace,rand,128,51432,0.051432,0.948568,0.079539
gcc.trace,rand,256,32033,0.032033,0.967967,0.077012
gcc.trace,rand,512,16491,0.016491,0.983509,0.080727
gcc.trace,rand,1024,7217,0.007217,0.992783,0.077122
gcc.trace,lru,1,716106,0.716106,0.283894,0.079418
gcc.trace,lru,2,403955,0.403955,0.596045,0.082311
gcc.trace,lru,4,243809,0.243809,0.756191,0.082933
gcc.trace,lru,8,171186,0.171186,0.828814,0.080403
gcc.trace,lru,16,116604,0.116604,0.883396,0.084319
gcc.trace,lru,32,84401,0.084401,0.915599,0.083633
gcc.trace,lru,64,59089,0.059089,0.940911,0.083870
gcc.trace,lru,128,40821,0.040821,0.959179,0.085120
gcc.trace,lru,256,25308,0.025308,0.974692,0.087147
gcc.trace,lru,512,10425,0.010425,0.989575,0.082123
