trace,algorithm,frames,page_faults,fault_rate,hit_rate,sim_time
bzip.trace,rand,1,629737,0.629737,0.370263,0.106521
bzip.trace,rand,2,240953,0.240953,0.759047,0.089970
bzip.trace,rand,4,131498,0.131498,0.868502,0.090880
bzip.trace,rand,8,43880,0.043880,0.956120,0.095507
bzip.trace,rand,16,4503,0.004503,0.995497,0.103099
bzip.trace,rand,32,2601,0.002601,0.997399,0.094025
bzip.trace,rand,64,1601,0.001601,0.998399,0.090791
bzip.trace,rand,128,952,0.000952,0.999048,0.117321
bzip.trace,rand,256,409,0.000409,0.999591,0.106376
bzip.trace,rand,512,317,0.000317,0.999683,0.101444
bzip.trace,rand,1024,317,0.000317,0.999683,0.126285
bzip.trace,rand,2048,317,0.000317,0.999683,0.107632
bzip.trace,rand,4096,317,0.000317,0.999683,0.088835
bzip.trace,rand,8192,317,0.000317,0.999683,0.088394
bzip.trace,lru,1,629737,0.629737,0.370263,0.105594
bzip.trace,lru,2,154429,0.154429,0.845571,0.099062
bzip.trace,lru,4,92770,0.092770,0.907230,0.106711
bzip.trace,lru,8,30691,0.030691,0.969309,0.101254
bzip.trace,lru,16,3344,0.003344,0.996656,0.115526
bzip.trace,lru,32,2133,0.002133,0.997867,0.115508
bzip.trace,lru,64,1264,0.001264,0.998736,0.120576
bzip.trace,lru,128,771,0.000771,0.999229,0.096223
bzip.trace,lru,256,397,0.000397,0.999603,0.095386
bzip.trace,lru,512,317,0.000317,0.999683,0.084338
bzip.trace,lru,1024,317,0.000317,0.999683,0.101659
bzip.trace,lru,2048,317,0.000317,0.999683,0.088016
bzip.trace,lru,4096,317,0.000317,0.999683,0.096575
bzip.trace,lru,8192,317,0.000317,0.999683,0.110864
bzip.trace,clockAlg,1,629737,0.629737,0.370263,0.112065
bzip.trace,clockAlg,2,228838,0.228838,0.771162,0.100138
bzip.trace,clockAlg,4,111442,0.111442,0.888558,0.109406
bzip.trace,clockAlg,8,46164,0.046164,0.953836,0.093666
bzip.trace,clockAlg,16,3468,0.003468,0.996532,0.092713
bzip.trace,clockAlg,32,2203,0.002203,0.997797,0.101315
bzip.trace,clockAlg,64,1318,0.001318,0.998682,0.085320
bzip.trace,clockAlg,128,802,0.000802,0.999198,0.119171
bzip.trace,clockAlg,256,432,0.000432,0.999568,0.102637
bzip.trace,clockAlg,512,317,0.000317,0.999683,0.114307
bzip.trace,clockAlg,1024,317,0.000317,0.999683,0.092635
bzip.trace,clockAlg,2048,317,0.000317,0.999683,0.159672
bzip.trace,clockAlg,4096,317,0.000317,0.999683,0.104797
bzip.trace,clockAlg,8192,317,0.000317,0.999683,0.110104
gcc.trace,rand,1,716106,0.716106,0.283894,0.143349
gcc.trace,rand,2,467498,0.467498,0.532502,0.128853
gcc.trace,rand,4,315914,0.315914,0.684086,0.114233
gcc.trace,rand,8,217453,0.217453,0.782547,0.115442
gcc.trace,rand,16,150561,0.150561,0.849439,0.110219
gcc.trace,rand,32,106555,0.106555,0.893445,0.102899
gcc.trace,rand,64,75179,0.075179,0.924821,0.109480
gcc.trace,rand,128,51432,0.051432,0.948568,0.096583
gcc.trace,rand,256,32033,0.032033,0.967967,0.094035
gcc.trace,rand,512,16491,0.016491,0.983509,0.083995
gcc.trace,rand,1024,7217,0.007217,0.992783,0.095893
gcc.trace,rand,2048,3349,0.003349,0.996651,0.095908
gcc.trace,rand,4096,2852,0.002852,0.997148,0.097179
gcc.trace,rand,8192,2852,0.002852,0.997148,0.115776
gcc.trace,lru,1,716106,0.716106,0.283894,0.138609
gcc.trace,lru,2,403955,0.403955,0.596045,0.142051
gcc.trace,lru,4,243809,0.243809,0.756191,0.123240
gcc.trace,lru,8,171186,0.171186,0.828814,0.121032
gcc.trace,lru,16,116604,0.116604,0.883396,0.116383
gcc.trace,lru,32,84401,0.084401,0.915599,0.114187
gcc.trace,lru,64,59089,0.059089,0.940911,0.112735
gcc.trace,lru,128,40821,0.040821,0.959179,0.147724
gcc.trace,lru,256,25308,0.025308,0.974692,0.123448
gcc.trace,lru,512,10425,0.010425,0.989575,0.110222
gcc.trace,lru,1024,4391,0.004391,0.995609,0.106229
gcc.trace,lru,2048,2904,0.002904,0.997096,0.118222
gcc.trace,lru,4096,2852,0.002852,0.997148,0.119422
gcc.trace,lru,8192,2852,0.002852,0.997148,0.140161
gcc.trace,clockAlg,1,716106,0.716106,0.283894,0.120427
gcc.trace,clockAlg,2,460912,0.460912,0.539088,0.119866
gcc.trace,clockAlg,4,276968,0.276968,0.723032,0.116357
gcc.trace,clockAlg,8,181856,0.181856,0.818144,0.193700
gcc.trace,clockAlg,16,121682,0.121682,0.878318,0.093271
gcc.trace,clockAlg,32,87686,0.087686,0.912314,0.112433
gcc.trace,clockAlg,64,61640,0.061640,0.938360,0.104438
gcc.trace,clockAlg,128,43017,0.043017,0.956983,0.114403
gcc.trace,clockAlg,256,26789,0.026789,0.973211,0.101553
gcc.trace,clockAlg,512,11472,0.011472,0.988528,0.103920
gcc.trace,clockAlg,1024,4765,0.004765,0.995235,0.101641
gcc.trace,clockAlg,2048,2929,0.002929,0.997071,0.094267
gcc.trace,clockAlg,4096,2852,0.002852,0.997148,0.096072
gcc.trace,clockAlg,8192,2852,0.002852,0.997148,0.102393
sixpack.trace,rand,1,792379,0.792379,0.207621,0.116486
sixpack.trace,rand,2,541767,0.541767,0.458233,0.134858
sixpack.trace,rand,4,354929,0.354929,0.645071,0.103533
sixpack.trace,rand,8,230311,0.230311,0.769689,0.110100
sixpack.trace,rand,16,145368,0.145368,0.854632,0.102359
sixpack.trace,rand,32,88667,0.088667,0.911333,0.106035
sixpack.trace,rand,64,51937,0.051937,0.948063,0.097830
sixpack.trace,rand,128,29161,0.029161,0.970839,0.093900
sixpack.trace,rand,256,15915,0.015915,0.984085,0.103393
sixpack.trace,rand,512,8848,0.008848,0.991152,0.095433
sixpack.trace,rand,1024,5934,0.005934,0.994066,0.108309
sixpack.trace,rand,2048,4539,0.004539,0.995461,0.100652
sixpack.trace,rand,4096,3890,0.003890,0.996110,0.114806
sixpack.trace,rand,8192,3890,0.003890,0.996110,0.115594
sixpack.trace,lru,1,792379,0.792379,0.207621,0.109960
sixpack.trace,lru,2,483161,0.483161,0.516839,0.111072
sixpack.trace,lru,4,282620,0.282620,0.717380,0.128144
sixpack.trace,lru,8,176496,0.176496,0.823504,0.104997
sixpack.trace,lru,16,108682,0.108682,0.891318,0.108898
sixpack.trace,lru,32,67747,0.067747,0.932253,0.099235
sixpack.trace,lru,64,41186,0.041186,0.958814,0.104005
sixpack.trace,lru,128,21090,0.021090,0.978910,0.108265
sixpack.trace,lru,256,11240,0.011240,0.988760,0.095364
sixpack.trace,lru,512,5823,0.005823,0.994177,0.109084
sixpack.trace,lru,1024,4468,0.004468,0.995532,0.107584
sixpack.trace,lru,2048,3951,0.003951,0.996049,0.114233
sixpack.trace,lru,4096,3890,0.003890,0.996110,0.089475
sixpack.trace,lru,8192,3890,0.003890,0.996110,0.099434
sixpack.trace,clockAlg,1,792379,0.792379,0.207621,0.104870
sixpack.trace,clockAlg,2,529237,0.529237,0.470763,0.097294
sixpack.trace,clockAlg,4,329368,0.329368,0.670632,0.105623
sixpack.trace,clockAlg,8,191760,0.191760,0.808240,0.108366
sixpack.trace,clockAlg,16,115206,0.115206,0.884794,0.094626
sixpack.trace,clockAlg,32,70849,0.070849,0.929151,0.098940
sixpack.trace,clockAlg,64,41949,0.041949,0.958051,0.096082
sixpack.trace,clockAlg,128,23229,0.023229,0.976771,0.094182
sixpack.trace,clockAlg,256,11876,0.011876,0.988124,0.093000
sixpack.trace,clockAlg,512,6119,0.006119,0.993881,0.089641
sixpack.trace,clockAlg,1024,4618,0.004618,0.995382,0.105093
sixpack.trace,clockAlg,2048,3993,0.003993,0.996007,0.087605
sixpack.trace,clockAlg,4096,3890,0.003890,0.996110,0.102346
sixpack.trace,clockAlg,8192,3890,0.003890,0.996110,0.097007
swim.trace,rand,1,763444,0.763444,0.236556,0.113670
swim.trace,rand,2,557211,0.557211,0.442789,0.108080
swim.trace,rand,4,428507,0.428507,0.571493,0.107156
swim.trace,rand,8,320951,0.320951,0.679049,0.107685
swim.trace,rand,16,194975,0.194975,0.805025,0.102573
swim.trace,rand,32,83817,0.083817,0.916183,0.101747
swim.trace,rand,64,35342,0.035342,0.964658,0.098047
swim.trace,rand,128,18009,0.018009,0.981991,0.090913
swim.trace,rand,256,9305,0.009305,0.990695,0.103825
swim.trace,rand,512,5183,0.005183,0.994817,0.116584
swim.trace,rand,1024,3482,0.003482,0.996518,0.097007
swim.trace,rand,2048,2656,0.002656,0.997344,0.111473
swim.trace,rand,4096,2543,0.002543,0.997457,0.101249
swim.trace,rand,8192,2543,0.002543,0.997457,0.111404
swim.trace,lru,1,763444,0.763444,0.236556,0.100284
swim.trace,lru,2,470679,0.470679,0.529321,0.112020
swim.trace,lru,4,346936,0.346936,0.653064,0.127635
swim.trace,lru,8,285375,0.285375,0.714625,0.128603
swim.trace,lru,16,171961,0.171961,0.828039,0.130716
swim.trace,lru,32,48254,0.048254,0.951746,0.122918
swim.trace,lru,64,21656,0.021656,0.978344,0.109091
swim.trace,lru,128,13250,0.013250,0.986750,0.145467
swim.trace,lru,256,5673,0.005673,0.994327,0.144135
swim.trace,lru,512,3632,0.003632,0.996368,0.119808
swim.trace,lru,1024,2803,0.002803,0.997197,0.117709
swim.trace,lru,2048,2576,0.002576,0.997424,0.106871
swim.trace,lru,4096,2543,0.002543,0.997457,0.113563
swim.trace,lru,8192,2543,0.002543,0.997457,0.110274
swim.trace,clockAlg,1,763444,0.763444,0.236556,0.120295
swim.trace,clockAlg,2,541458,0.541458,0.458542,0.120429
swim.trace,clockAlg,4,380682,0.380682,0.619318,0.140049
swim.trace,clockAlg,8,293519,0.293519,0.706481,0.121475
swim.trace,clockAlg,16,191848,0.191848,0.808152,0.115607
swim.trace,clockAlg,32,53025,0.053025,0.946975,0.145367
swim.trace,clockAlg,64,22611,0.022611,0.977389,0.122767
swim.trace,clockAlg,128,15275,0.015275,0.984725,0.104402
swim.trace,clockAlg,256,5980,0.005980,0.994020,0.111081
swim.trace,clockAlg,512,3795,0.003795,0.996205,0.106673
swim.trace,clockAlg,1024,2901,0.002901,0.997099,0.108073
swim.trace,clockAlg,2048,2642,0.002642,0.997358,0.117196
swim.trace,clockAlg,4096,2543,0.002543,0.997457,0.124171
swim.trace,clockAlg,8192,2543,0.002543,0.997457,0.109047
